platform	categoryId	question	answer			right	group	textarea
quizard	quizard1	Какие признаки можно использовать для определения коммуникаций в ГПР?	Одинаковый опыт работы в компании.			Нет	107	0
quizard	quizard1	Какие признаки можно использовать для определения коммуникаций в ГПР?	Копия в электронной переписке.			Да	107	0
quizard	quizard1	Какие признаки можно использовать для определения коммуникаций в ГПР?	Связь в организационной структуре фирмы.			Да	107	0
quizard	quizard1	Какие признаки можно использовать для определения коммуникаций в ГПР?	Находятся на одном уровне иерархии.			Нет	107	0
quizard	quizard1	Какие признаки можно использовать для определения коммуникаций в ГПР?	Используют похожий стиль общения.			Нет	107	0
quizard	quizard1	Какие признаки можно использовать для определения коммуникаций в ГПР?	Одинаковый знак зодиака участников ГПР.			Нет	107	0
quizard	quizard1	Какие признаки можно использовать для определения коммуникаций в ГПР?	Один участник может повлиять на другого.			Да	107	0
quizard	quizard1	Какие признаки можно использовать для определения коммуникаций в ГПР?	Личные симпатии к Вам.			Нет	107	0
quizard	quizard1	Какие утверждения о методике оценки клиента и стратегии продаж Smart Selling корректны с Вашей точки зрения?	Оценка клиента производится не чаще, чем раз в полгода.			Нет	108	0
quizard	quizard1	Какие утверждения о методике оценки клиента и стратегии продаж Smart Selling корректны с Вашей точки зрения?	Сформированная стратегия не должна меняться до новой оценки клиента.			Нет	108	0
quizard	quizard1	Какие утверждения о методике оценки клиента и стратегии продаж Smart Selling корректны с Вашей точки зрения?	Обычно есть только один правильный вариант стратегии продаж.			Нет	108	0
quizard	quizard1	Какие утверждения о методике оценки клиента и стратегии продаж Smart Selling корректны с Вашей точки зрения?	Стратегия продаж может иметь различные сценарии.			Да	108	0
quizard	quizard1	Какие утверждения о методике оценки клиента и стратегии продаж Smart Selling корректны с Вашей точки зрения?	В группе принятия решения у клиента может быть не более 5 человек.			Нет	108	0
quizard	quizard1	Какие утверждения о методике оценки клиента и стратегии продаж Smart Selling корректны с Вашей точки зрения?	Сила влияния участника ГПР зависит от конкретного предмета обсуждения.			Да	108	0
quizard	quizard1	Какие утверждения о методике оценки клиента и стратегии продаж Smart Selling корректны с Вашей точки зрения?	Лояльные участники могут влиять на менее лояльных участников ГПР.			Да	108	0
quizard	quizard1	Какие утверждения о методике оценки клиента и стратегии продаж Smart Selling корректны с Вашей точки зрения?	Можно вводить в ГПР новых участников для достижения результата.			Да	108	0
quizard	quizard1	Какие утверждения о методике оценки клиента и стратегии продаж Smart Selling корректны с Вашей точки зрения?	Стратегия продаж нужна только в случае первой неудачи на переговорах.			Нет	108	0
quizard	quizard1	Какие утверждения о методике оценки клиента и стратегии продаж Smart Selling корректны с Вашей точки зрения?	Не желательно принимать решение о параметрах ГПР по единичным признакам.			Да	108	0
quizard	quizard1	Как можно увеличить вероятность успеха стратегии продаж SMART SELLING?					109	0
quizard	quizard1	Приведите 3 и более способов повысить общий баланс ГПР.					110	0
quizard	quizard1	Приведите 3 или более способа повышения лояльности участника ГПР.					111	0
quizard	quizard1	Приведите 3 или более способов минимизации рисков стратегии SMART SELLING.					112	0
quizard	quizard3	Какие из указанных параметров переговоров можно точно считать признаками успеха в переговорах.	Переговоры закончились раньше, чем Вы планировали.			Нет	121	0
quizard	quizard3	Какие из указанных параметров переговоров можно точно считать признаками успеха в переговорах.	Переговоры закончились позже, чем Вы планировали.			Нет	121	0
quizard	quizard3	Какие из указанных параметров переговоров можно точно считать признаками успеха в переговорах.	Переговоры улучшили отношения с клиентом.			Да	121	0
quizard	quizard3	Какие из указанных параметров переговоров можно точно считать признаками успеха в переговорах.	Клиент подтвердил, что Ваша компания будет участвовать в тендере на поставку.			Да	121	0
quizard	quizard3	Какие из указанных параметров переговоров можно точно считать признаками успеха в переговорах.	Клиент предложил Вам чай или кофе			Нет	121	0
quizard	quizard3	Какие из указанных параметров переговоров можно точно считать признаками успеха в переговорах.	Вы познакомились с новым человеком в компании клиента.			Нет	121	0
quizard	quizard3	Какие из указанных параметров переговоров можно точно считать признаками успеха в переговорах.	Вы достигли поставленную цель переговоров.			Да	121	0
quizard	quizard3	Какие из указанных параметров переговоров можно точно считать признаками успеха в переговорах.	Вы договорились о следующих переговорах.			Нет	121	0
quizard	quizard3	Какие из указанных параметров переговоров можно точно считать признаками успеха в переговорах.	Вы достигли на переговорах больше, чем планировали.			Да	121	0
quizard	quizard3	Какие из указанных параметров переговоров можно точно считать признаками успеха в переговорах.	Клиент согласовал план совместных действий после переговоров.			Да	121	0
quizard	quizard3	Что обязательно необходимо сделать для подготовки к переговорам?	Поставить цель переговоров.			Да	122	0
quizard	quizard3	Что обязательно необходимо сделать для подготовки к переговорам?	Вспомнить лучшие цитаты о переговорах.			Нет	122	0
quizard	quizard3	Что обязательно необходимо сделать для подготовки к переговорам?	Не проводить других переговоров в течение 4 часов до данных переговоров.			Нет	122	0
quizard	quizard3	Что обязательно необходимо сделать для подготовки к переговорам?	Сообщить клиенту о том, что будет необходимо на переговорах с его стороны.			Да	122	0
quizard	quizard3	Что обязательно необходимо сделать для подготовки к переговорам?	Собрать статистику Ваших успешных переговоров за предыдущий месяц.			Нет	122	0
quizard	quizard3	Что обязательно необходимо сделать для подготовки к переговорам?	Придумать рифму к названию компании-клиента для переговоров.			Нет	122	0
quizard	quizard3	Что обязательно необходимо сделать для подготовки к переговорам?	Подготовить необходимые материалы для данных переговоров.			Да	122	0
quizard	quizard3	Что обязательно необходимо сделать для подготовки к переговорам?	Сделать физическую разминку перед переговорами.			Нет	122	0
quizard	quizard3	Что обязательно необходимо сделать для подготовки к переговорам?	Заранее забронировать место и время переговоров, если это возможно.			Да	122	0
quizard	quizard3	Что обязательно необходимо сделать для подготовки к переговорам?	Эмоционально настроиться на успех в переговорах.			Да	122	0
quizard	quizard3	Каковы обязательные признаки успешного начала переговоров?	Переговоры начались вовремя.			Да	123	0
quizard	quizard3	Каковы обязательные признаки успешного начала переговоров?	Все участники переговоров присутствовали в начале переговоров.			Да	123	0
quizard	quizard3	Каковы обязательные признаки успешного начала переговоров?	Вы смогли удачно применить рифму к названию компании-клиента.			Нет	123	0
quizard	quizard3	Каковы обязательные признаки успешного начала переговоров?	На переговорах сформировалась доверительная атмосфера.			Да	123	0
quizard	quizard3	Каковы обязательные признаки успешного начала переговоров?	Клиент сразу стал спрашивать о ценах и прочих условиях.			Нет	123	0
quizard	quizard3	Каковы обязательные признаки успешного начала переговоров?	Вам предложили чай или кофе.			Нет	123	0
quizard	quizard3	Каковы обязательные признаки успешного начала переговоров?	Клиент одобрил цель переговоров и вопросы для обсуждения.			Да	123	0
quizard	quizard3	Каковы обязательные признаки успешного начала переговоров?	Клиент первым вручил Вам свою визитную карточку.			Нет	123	0
quizard	quizard3	Каковы обязательные признаки успешного начала переговоров?	Согласована продолжительность переговоров.			Да	123	0
quizard	quizard3	Каковы обязательные признаки успешного начала переговоров?	Вы смогли начать переговоры с презентации продуктов и решений.			Нет	123	0
quizard	quizard3	Из каких элементов состоит карта переговоров с клиентом?	История отношений с клиентом.			Нет	124	0
quizard	quizard3	Из каких элементов состоит карта переговоров с клиентом?	Текущая ситуация клиента.			Да	124	0
quizard	quizard3	Из каких элементов состоит карта переговоров с клиентом?	Ваш личный опыт ведения переговоров.			Нет	124	0
quizard	quizard3	Из каких элементов состоит карта переговоров с клиентом?	Параметры выбора продуктов и решений клиентом.			Да	124	0
quizard	quizard3	Из каких элементов состоит карта переговоров с клиентом?	Планы и потребности развития клиента.			Да	124	0
quizard	quizard3	Из каких элементов состоит карта переговоров с клиентом?	Широта и глубина ассортимента Ваших продуктов и решений.			Нет	124	0
quizard	quizard3	Из каких элементов состоит карта переговоров с клиентом?	Динамика общих продаж Вашей продукции на рынке за текущий год.			Нет	124	0
quizard	quizard3	Из каких элементов состоит карта переговоров с клиентом?	Способы оценки клиентом предложений и принятия решения.			Да	124	0
quizard	quizard3	Из каких элементов состоит карта переговоров с клиентом?	Технические характеристики Ваших продуктов и решений.			Нет	124	0
quizard	quizard3	Из каких элементов состоит карта переговоров с клиентом?	Прочие параметры, важные для клиента.			Да	124	0
quizard	quizard3	Какие вопросы являются открытыми?	Что для Вас важно при выборе продуктов и решений?			Да	125	0
quizard	quizard3	Какие вопросы являются открытыми?	Насколько Вам нравится наше предложение?			Да	125	0
quizard	quizard3	Какие вопросы являются открытыми?	Вы согласны, что наши продукты хорошо Вам подходят?			Нет	125	0
quizard	quizard3	Какие вопросы являются открытыми?	Если мы сделаем скидку 2%, Вы готовы принять решение сегодня?			Нет	125	0
quizard	quizard3	Какие вопросы являются открытыми?	От нас зависит не все, Вы же понимаете?			Нет	125	0
quizard	quizard3	Какие вопросы являются открытыми?	Какие еще варианты Вы готовы рассматривать?			Да	125	0
quizard	quizard3	Какие вопросы являются открытыми?	Какие объемы закупок по нашей продукции у Вас в этом году?			Да	125	0
quizard	quizard3	Какие вопросы являются открытыми?	Сколько времени Вам понадобится для принятия решения, одна неделя - достаточно?			Нет	125	0
quizard	quizard3	Какие вопросы являются открытыми?	Как мы можем доказать Вам качество наших продуктов?			Да	125	0
quizard	quizard3	Какие вопросы являются открытыми?	Вы рады, что получили качественный продукт?			Нет	125	0
quizard	quizard3	Из каких элементов состоит полностью правильно построенный аргумент?	Указание на то, как наше предложение удовлетворит потребности клиента.			Да	126	0
quizard	quizard3	Из каких элементов состоит полностью правильно построенный аргумент?	Прямое указание на новинки этого года.			Нет	126	0
quizard	quizard3	Из каких элементов состоит полностью правильно построенный аргумент?	Факт или свойство о продукте и / или компании.			Да	126	0
quizard	quizard3	Из каких элементов состоит полностью правильно построенный аргумент?	Ссылка на предыдущие решения клиента.			Нет	126	0
quizard	quizard3	Из каких элементов состоит полностью правильно построенный аргумент?	Смысл/значение свойства продукта и/или компании для клиента.			Да	126	0
quizard	quizard3	Из каких элементов состоит полностью правильно построенный аргумент?	Просьба клиенту не возражать против нашего аргумента.			Нет	126	0
quizard	quizard3	Из каких элементов состоит полностью правильно построенный аргумент?	Личный пример применения наших продуктов и решений			Нет	126	0
quizard	quizard3	Из каких элементов состоит полностью правильно построенный аргумент?	Побуждение клиента к нужным нам решениям и/или действиям.			Да	126	0
quizard	quizard3	Из каких элементов состоит полностью правильно построенный аргумент?	Пример рекламации на наши продукты и успешное решение ситуации.			Нет	126	0
quizard	quizard3	Из каких элементов состоит полностью правильно построенный аргумент?	Обратная связь от клиента о представленном аргументе.			Да	126	0
quizard	quizard3	Какие варианты первой реакции на возражение Вы считаете правильными?	Да, спасибо, что Вы сказали об этом. Уточните, пожалуйста, …			Да	127	0
quizard	quizard3	Какие варианты первой реакции на возражение Вы считаете правильными?	Нет, скорее всего, дело обстоит по-другому.			Нет	127	0
quizard	quizard3	Какие варианты первой реакции на возражение Вы считаете правильными?	Да, Вы полностью правы, к сожалению, но ничего не поделаешь…			Нет	127	0
quizard	quizard3	Какие варианты первой реакции на возражение Вы считаете правильными?	Вот как… То, что Вы говорите совсем неожиданно… Пока не знаю, что ответить Вам.			Нет	127	0
quizard	quizard3	Какие варианты первой реакции на возражение Вы считаете правильными?	Да, это важный вопрос, предлагаю обсудить его более подробно.			Да	127	0
quizard	quizard3	Какие варианты первой реакции на возражение Вы считаете правильными?	Спасибо за данную информацию, именно поэтому мы можем предложить Вам…			Да	127	0
quizard	quizard3	Какие варианты первой реакции на возражение Вы считаете правильными?	Я слышу то же самое очень часто… Давайте обсудим то, что более важно для нас...			Нет	127	0
quizard	quizard3	Какие варианты первой реакции на возражение Вы считаете правильными?	Ну, я не уверен, что Вы на самом деле правы на 100%.			Нет	127	0
quizard	quizard3	Какие варианты первой реакции на возражение Вы считаете правильными?	Действительно, этот вопрос имеет большое значение, при этом хочу сказать, что…			Да	127	0
quizard	quizard3	Какие варианты первой реакции на возражение Вы считаете правильными?	Позвольте я уточню детали и сообщу Вам варианты решения?			Да	127	0
quizard	quizard3	Что необходимо сделать в завершении переговоров?	Поблагодарить клиента за встречу независимо от достигнутого результата.			Да	128	0
quizard	quizard3	Что необходимо сделать в завершении переговоров?	Показать значимое психологическое превосходство над клиентом.			Нет	128	0
quizard	quizard3	Что необходимо сделать в завершении переговоров?	Сказать, что мы не очень довольны переговорами, чтобы добиться еще большего.			Нет	128	0
quizard	quizard3	Что необходимо сделать в завершении переговоров?	Согласовать с клиентом перечень достигнутых договоренностей.			Да	128	0
quizard	quizard3	Что необходимо сделать в завершении переговоров?	Вспомнить и рассказать яркую смешную историю.			Нет	128	0
quizard	quizard3	Что необходимо сделать в завершении переговоров?	Задать неожиданный вопрос, чтобы узнать настоящее мнение клиента.			Нет	128	0
quizard	quizard3	Что необходимо сделать в завершении переговоров?	Сообщить клиенту о том, что в ближайшем будущем Вы будете очень заняты.			Нет	128	0
quizard	quizard3	Что необходимо сделать в завершении переговоров?	Получить от клиента обратную связь о данных переговорах.			Да	128	0
quizard	quizard3	Что необходимо сделать в завершении переговоров?	Проверить записи переговоров для фиксации итогов.			Да	128	0
quizard	quizard3	Что необходимо сделать в завершении переговоров?	Договориться с клиентом о дальнейших действиях.			Да	128	0
quizard	quizard3	Приведите три аргумента в пользу компании ABB					129	0
quizard	quizard3	Приведите три аргумента в пользу продукции ABB					130	0
quizard	quizard3	Приведите Ваши ответы на возражения клиента: "У нас уже есть поставщик и нас все устраивает."					131	0
quizard	quizard3	Приведите Ваши ответы на возражения клиента: "То, что Вы предлагаете, для нас очень дорого."					132	0
quizard	quizard3	Приведите Ваши ответы на возражения клиента: "То, что Мы пробовали ранее работать с ABB, но были не очень довольны.        "					133	0
quizard	quizard3	Как Вы можете само­стоятельно улучшать качество ведения Ваших переговоров?					134	0
